Date	Sales Rep	Product	Revenue
4/10/2016	Towanda Pemberton	Chevy	52250
11/15/2016	Adelina Oglesby	Honda	23383
8/28/2016	Zona Otis	Chevy	40522
11/21/2016	Quentin Johns	Ford	55216
1/27/2016	Kurtis Osorio	Ford	42554
6/18/2016	Louetta Maloney	Ford	62140
10/12/2016	Adelina Oglesby	Ford	60698
10/28/2016	Earleen Milam	Toyota	29943
7/13/2016	Ernie Pettigrew	Toyota	31488
8/27/2016	Evelynn Mckee	Toyota	22758
11/12/2016	Evelynn Mckee	Chevy	49631
3/8/2016	Ernie Pettigrew	Ford	56427
9/7/2016	Evelynn Mckee	Ford	59397
8/19/2016	Earleen Milam	Ford	63081
7/17/2016	Hyman Irish	Honda	26779
10/30/2016	Earleen Milam	Chevy	53387
12/26/2016	Yulanda Mireles	Ford	52557
1/28/2016	Earleen Milam	Ford	57162
3/7/2016	Louetta Maloney	Ford	57587
8/12/2016	Timika Poe	Honda	16932
6/13/2016	Rudolf Eason	Toyota	33022
5/8/2016	Towanda Pemberton	Ford	63694
5/14/2016	Julianna Kunz	Ford	47955
6/27/2016	Louetta Maloney	Chevy	19207
11/18/2016	Timika Poe	Chevy	40241
3/20/2016	Rudolf Eason	Toyota	22951
2/23/2016	Yulanda Mireles	Honda	30076
1/29/2016	Timika Poe	Ford	27951
4/26/2016	Towanda Pemberton	Toyota	17585
6/15/2016	Ernie Pettigrew	Toyota	29748
8/31/2016	Yulanda Mireles	Toyota	19437
8/15/2016	Yulanda Mireles	Chevy	31257
10/27/2016	Adelina Oglesby	Chevy	35777
12/12/2016	Timika Poe	Chevy	43538
12/16/2016	Hyman Irish	Chevy	53432
6/20/2016	Yulanda Mireles	Toyota	22971
2/15/2016	Julianna Kunz	Chevy	49925
9/17/2016	Louetta Maloney	Ford	35704
3/27/2016	Louetta Maloney	Chevy	31375
5/21/2016	Earleen Milam	Ford	52435
10/22/2016	Ernie Pettigrew	Honda	14335
8/29/2016	Zona Otis	Ford	15416
8/11/2016	Julianna Kunz	Toyota	31448
12/7/2016	Cami Goodson	Chevy	44476
2/7/2016	Julianna Kunz	Toyota	19374
4/19/2016	Adelina Oglesby	Chevy	27371
